id,year,tournament,start_date,prize_money,atp_category,tourney_id
411,1977,Australian Open-1,1977-01-01,$200.000,AA,580
412,1977,Adelaide-1,1977-01-10,$75.000,D,7308
413,1977,Auckland,1977-01-10,$25.000,F,301
414,1977,Birmingham WCT,1977-01-12,$100.000,D,1506
415,1977,Baltimore,1977-01-17,$100.000,D,816
416,1977,Pepsi Grand Slam,1977-01-21,,Not ranked,1725
417,1977,Philadelphia WCT,1977-01-24,$200.000,B,401
418,1977,Little Rock,1977-01-31,$50.000,E,660
419,1977,Richmond WCT,1977-02-01,$100.000,D,802
420,1977,Dayton,1977-02-02,$50.000,E,716
421,1977,Miami,1977-02-07,$50.000,E,681
422,1977,Springfield,1977-02-07,$50.000,E,682
423,1977,Mexico City WCT,1977-02-08,$100.000,D,7303
424,1977,San Jose,1977-02-14,$50.000,E,356
425,1977,Ocean City,1977-02-15,,Not ranked,2019
426,1977,Toronto WCT,1977-02-15,$100.000,D,302
427,1977,Palm Springs,1977-02-21,$225.000,A,404
428,1977,Memphis,1977-02-28,$175.000,B,402
429,1977,Monterrey WCT,1977-03-01,$100.000,D,345
430,1977,Hampton,1977-03-08,$50.000,E,657
431,1977,Johannesburg-1,1977-03-08,$150.000,C,9239
432,1977,Helsinki,1977-03-14,$50.000,E,2008
433,1977,Washington-1,1977-03-14,$100.000,D,9211
434,1977,St Louis WCT,1977-03-14,$100.000,D,
435,1977,Cairo,1977-03-21,$30.000,F,206
436,1977,Carlsbad,1977-03-21,$100.000,D,813
437,1977,Rotterdam WCT,1977-03-22,$100.000,D,407
438,1977,London WCT,1977-03-28,$100.000,D,262
439,1977,Los Angeles-1,1977-03-28,$150.000,C,423
440,1977,Nice,1977-03-28,$50.000,E,6120
441,1977,Jackson,1977-04-04,,Not ranked,656
442,1977,Monte-Carlo WCT,1977-04-05,$100.000,D,410
443,1977,WCT Challenge Cup,1977-04-10,,Not ranked,3933
444,1977,Houston WCT,1977-04-11,$100.000,D,405
445,1977,Murcia,1977-04-11,$50.000,E,2009
446,1977,Buenos Aires-1,1977-04-14,,Not ranked,722
447,1977,Denver,1977-04-18,$100.000,D,389
448,1977,Florence,1977-04-18,$30.000,F,310
449,1977,Charlotte WCT,1977-04-19,$100.000,D,436
450,1977,Virginia Beach,1977-04-19,,Not ranked,674
451,1977,Las Vegas,1977-04-25,$250.000,A,413
452,1977,Munich,1977-04-26,$75.000,D,308
453,1977,Hamburg,1977-05-09,$125.000,C,414
454,1977,WCT Finals,1977-05-10,,Not ranked,610
455,1977,Dusseldorf,1977-05-16,$75.000,D,661
456,1977,Rome,1977-05-16,$150.000,C,416
457,1977,Roland Garros,1977-05-23,$300.000,AA,520
458,1977,Brussels,1977-06-06,$75.000,D,406
459,1977,Nottingham,1977-06-06,$100.000,D,350
460,1977,Berlin,1977-06-13,$50.000,E,9240
461,1977,Queen's Club,1977-06-13,$100.000,D,311
462,1977,Wimbledon,1977-06-20,$198.500,AA,540
463,1977,Bastad,1977-07-04,$75.000,D,316
464,1977,Gstaad,1977-07-04,$75.000,D,314
465,1977,Newport,1977-07-04,$50.000,E,315
466,1977,Cincinnati,1977-07-11,$100.000,D,422
467,1977,Hilversum,1977-07-11,$75.000,D,317
468,1977,Kitzbuhel,1977-07-11,$75.000,D,319
469,1977,Washington-2,1977-07-18,$125.000,C,418
470,1977,Louisville,1977-07-25,$125.000,C,663
471,1977,North Conway,1977-08-01,$125.000,C,705
472,1977,South Orange,1977-08-01,$75.000,D,707
473,1977,Columbus,1977-08-08,$125.000,C,343
474,1977,Indianapolis,1977-08-08,$125.000,C,717
475,1977,Toronto-2,1977-08-15,$125.000,C,421
476,1977,Boston,1977-08-22,$125.000,C,417
477,1977,US Open,1977-08-31,$250.000,AA,560
478,1977,Laguna Niguel,1977-09-14,,Not ranked,2020
479,1977,WCT Tournament of Champions,1977-09-17,,Not ranked,2059
480,1977,Los Angeles-2,1977-09-19,$100.000,D,2006
481,1977,Paris-1,1977-09-19,$50.000,E,2010
482,1977,Aix en Provence,1977-09-26,$50.000,E,
483,1977,San Francisco,1977-09-26,$125.000,D,424
484,1977,Maui,1977-10-03,$100.000,D,324
485,1977,Teheran,1977-10-03,$150.000,C,
486,1977,Brisbane,1977-10-10,$50.000,E,326
487,1977,Madrid,1977-10-10,$100.000,D,309
488,1977,Barcelona,1977-10-17,$100.000,D,425
489,1977,Sydney-1,1977-10-17,$125.000,C,427
490,1977,Basel,1977-10-24,$50.000,E,328
491,1977,Perth,1977-10-24,$50.000,E,2859
492,1977,Vienna,1977-10-24,$50.000,E,337
493,1977,Cologne,1977-10-31,$50.000,E,332
494,1977,Paris-2,1977-10-31,$50.000,E,7302
495,1977,Tokyo,1977-10-31,$100.000,D,329
496,1977,Bogota,1977-11-07,$50.000,E,359
497,1977,Hong Kong,1977-11-07,$75.000,D,336
498,1977,Stockholm,1977-11-07,$150.000,C,429
